 ,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegrIntCh1,IntegrIntCh2,ColocCh1,ColocCh2,ColocIndCh1,ColocIndCh2,Index
214,11,808.00000,814.00000,1,6,1,797,803,819,825,289,10320.00000,0.00000,1,0,214,0,214
215,11,839.00000,756.00000,1,6,1,828,745,850,767,289,10965.00000,0.00000,1,0,215,0,215
216,11,853.00000,537.00000,1,6,1,842,526,864,548,289,11739.00000,0.00000,1,0,216,0,216
217,11,874.00000,449.00000,1,6,1,863,438,885,460,289,12384.00000,0.00000,1,0,217,0,217
218,11,910.18750,882.34375,1,6,1,899,873,922,892,267,6464.00000,0.00000,1,0,218,0,218
219,11,956.00000,462.00000,1,6,1,945,451,967,473,289,23349.00000,0.00000,1,0,219,0,219
220,12,241.00000,743.00000,2,6,1,234,736,248,750,129,0.00000,7137.00000,0,1,0,220,220
221,12,357.00000,219.50000,2,6,1,348,214,366,225,126,0.00000,238.00000,0,1,0,221,221
222,12,392.00000,648.00000,2,6,1,385,641,399,655,129,0.00000,3843.00000,0,1,0,222,222
223,12,477.00000,571.00000,2,6,1,470,564,484,578,129,0.00000,15555.00000,0,1,0,223,223
224,12,618.00000,449.00000,2,6,1,611,442,625,456,129,0.00000,3599.00000,0,1,0,224,224
225,12,666.00000,531.00000,2,6,1,659,524,673,538,129,0.00000,3538.00000,0,1,0,225,225
226,12,697.50000,866.00000,2,6,1,691,859,704,873,114,0.00000,104.00000,0,1,0,226,226
227,12,702.00000,575.00000,2,6,1,695,568,709,582,129,0.00000,3416.00000,0,1,0,227,227
228,12,733.00000,973.00000,2,6,1,726,966,740,980,129,0.00000,2501.00000,0,1,0,228,228
229,12,842.00000,897.00000,2,6,1,835,890,849,904,129,0.00000,2196.00000,0,1,0,229,229
230,12,867.00000,467.00000,2,6,1,860,460,874,474,129,0.00000,2074.00000,0,1,0,230,230
231,12,960.00000,909.00000,2,6,1,953,902,967,916,129,0.00000,1952.00000,0,1,0,231,231
232,12,1164.99538,374.00462,2,6,1,1158,367,1172,381,129,0.00000,15264.10714,0,1,0,232,232
233,12,1183.00000,292.00000,2,6,1,1176,285,1190,299,129,0.00000,549.00000,0,1,0,233,233
