LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2650,2650,19,276.34619140625,23.299542456046876,31.02418860724301,0.0,220.0,11,0.25,1,,4169.524590163935,4232.0,2394.0,6206.0,254341.0,933.8973285209563,,,0.14556290306070221,1.1346166938211413
ID2651,2651,21,238.52490234375,21.541086421628243,31.27539661215996,0.0,220.0,11,0.25,1,,3558.7868852459014,3797.0,1639.0,5243.0,217086.0,975.9572414601317,,,0.1491631601805239,0.9466317511373981
ID2652,2652,22,252.504150390625,22.79712644621298,31.338198613389196,0.0,220.0,11,0.25,1,,4212.049180327869,4215.0,1973.0,6071.0,256935.0,1043.493801710221,,,0.12918697946173657,0.923605345307823
ID2653,2653,23,168.31201171875,22.42031443883756,31.401000614618432,0.0,220.0,11,0.25,1,,4059.8360655737706,4201.0,2220.0,6027.0,247650.0,810.4650759559368,,,0.08645009676972011,0.7971864137759332
ID2654,2654,65,100.66845703125,5.714982111860555,38.937240762126855,0.0,220.0,11,0.25,1,,1752.5081967213114,1771.0,1096.0,2312.0,106903.0,299.69371158739267,,,0.14418428181546095,1.4737857886489205
ID2655,2655,24,472.888671875,76.11602548983508,41.072508803920904,0.0,220.0,11,0.25,1,,1599.0655737704917,941.0,219.0,7465.0,97543.0,1740.2480557749275,,,0.857657019819204,0.8484636197579803
ID2656,2656,25,255.9716796875,10.487934205282556,42.516954832193356,0.0,220.0,11,0.25,1,,1757.5245901639344,1591.0,507.0,3407.0,107209.0,706.8385154228976,,,0.41163629102664023,1.4501136521398748
ID2657,2657,27,519.468994140625,9.922716194219424,43.333380848173434,0.0,220.0,11,0.25,1,,3069.3278688524592,2740.0,1028.0,6296.0,187229.0,1410.9016823921675,,,0.49023070572775923,1.4312764624595289
ID2658,2658,26,459.0855712890625,42.328548828505646,43.77299485677809,0.0,220.0,11,0.25,1,,2205.6721311475408,1722.0,679.0,5363.0,134546.0,1327.2104043357442,,,0.6241577116588536,1.2773129525660345
ID2659,2659,59,153.88446044921875,38.87443876089762,48.73435295388781,0.0,220.0,11,0.25,1,,813.4262295081967,734.0,134.0,1874.0,49619.0,459.7366078896478,,,0.5272268003177938,1.2216112480239683
ID2660,2660,28,1438.21337890625,65.12567527471863,49.11116496126323,0.0,220.0,11,0.25,1,,5082.672131147541,2773.0,733.0,21776.0,310043.0,5345.9505631874035,,,0.7489938950597599,0.8143050669275218
ID2661,2661,29,2475.986328125,71.46867739887155,54.0097210571437,0.0,220.0,11,0.25,1,,8490.72131147541,4044.0,1383.0,32810.0,517934.0,8625.45784124172,,,0.8421615749926064,0.9000365124010622
ID2662,2662,63,239.66192626953125,11.42996422372111,54.82614707312378,0.0,220.0,11,0.25,1,,1135.0819672131147,896.0,230.0,2986.0,69240.0,695.4268304449665,,,0.6189541172516316,1.2480434149322168
ID2663,2663,66,198.6484375,27.444474537176507,56.8986131136886,0.0,220.0,11,0.25,1,,2647.7704918032787,2560.0,1736.0,3871.0,161514.0,487.4280252318498,,,0.1833376654235427,1.683227610055538
ID2664,2664,64,411.997802734375,10.048320196677897,58.71987114933646,0.0,220.0,11,0.25,1,,3987.8852459016393,3852.0,2318.0,5988.0,243261.0,918.2547594642177,,,0.30086598231586514,2.008861473927252
ID2665,2665,31,205.099609375,19.091808373688007,61.79716920956907,0.0,220.0,11,0.25,1,,7103.540983606557,7320.0,4314.0,9066.0,433316.0,1155.9372470535254,,,0.06624107033112588,0.7635589329170691
ID2666,2666,36,155.11669921875,19.719828385980374,61.79716920956907,0.0,220.0,11,0.25,1,,7283.622950819672,7549.0,3795.0,9446.0,444301.0,1334.4400219309773,,,0.03323933288608549,0.3511799893109721
ID2667,2667,32,305.35400390625,21.101472413023586,61.85997121079831,0.0,220.0,11,0.25,1,,8266.065573770491,8173.0,5466.0,11215.0,504230.0,1564.3315491379747,,,0.07733459437677816,0.7586181760201104
ID2668,2668,34,184.330078125,18.463788361395636,61.98557521325678,0.0,220.0,11,0.25,1,,5870.426229508197,6080.0,3362.0,7914.0,358096.0,1140.1043440407313,,,0.06423556643645235,0.6215739706262663
ID2669,2669,33,460.447265625,20.599056403189692,61.98557521325678,0.0,220.0,11,0.25,1,,10723.16393442623,10625.0,7455.0,13396.0,654113.0,1546.9097601382339,,,0.1040229113458881,1.3062878268937357
ID2670,2670,35,296.1162109375,19.21741237614648,62.23678321817373,0.0,220.0,11,0.25,1,,9101.83606557377,9098.0,7397.0,10781.0,555212.0,852.3726333071288,,,0.07901509073154926,1.5639109904761719
